,bmw,audi,acura,infiniti,cadillac
price,1.7429858461810066,1.9026504376701543,1.6031959086545242,1.9472630731239495,2.0029390402513387
performance,1.7362893487967201,2.0585221702086525,1.7610688240773622,2.1513306346452588,1.941881125694962
driving,1.7324384787472036,2.02019025431955,1.70893567759207,2.2220946915351507,1.7160354552780017
luxury,1.5390133492978753,2.139187158152435,2.1521172958208457,2.327722432153899,3.2683773876133513
engine,1.5490782017995068,1.5303172653031727,1.5513238344062272,1.843016240381382,0.9316068393160684
tech,1.1691655956970821,1.9032371322238606,2.970296511475753,2.734936285533068,0.6171670067035849
