,bmw,audi,acura,honda,volkswagen,infiniti,toyota,cadillac,hyundai,ford
bmw,0.0,1.253855922505002,0.7131925010525273,0.40483540119092665,0.44213273676360926,1.0372916704558544,0.46447689019336585,1.155082590174987,0.5474024359930401,0.5778634553445349
audi,0.0,0.0,1.2515598423310965,0.5391681601394561,1.723817381738174,1.5605641864999509,0.40490177151419876,1.5700076857000769,0.7454345434543455,0.31720618870397677
acura,0.0,0.0,0.0,2.250579419740785,0.5324859915265819,2.5749057490574905,0.5107531855262842,1.398608232657669,0.5865063095075396,0.29555189168912965
honda,0.0,0.0,0.0,0.0,1.0053412462908011,0.5176553842689762,1.876263607283668,0.3098654526238771,1.079810968238268,0.9269103689205969
volkswagen,0.0,0.0,0.0,0.0,0.0,0.5610960554049985,0.943732590529248,0.3222983257229833,0.9062551440329218,1.4016548463356975
infiniti,0.0,0.0,0.0,0.0,0.0,0.0,0.7672622687229658,2.452611649404165,0.7481280738733314,0.1302350612158604
toyota,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7756706223528065,1.6078407097905705,0.8701080621900867
cadillac,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8594622019279553,0.987467210725736
hyundai,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.889939584975046
ford,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
